Order_ID,Order_Date,Customer_ID,Product,Category,Quantity,Unit_Price,Discount,Sales,Cost,Profit,State,City,Payment_Method,Order_Status,Customer_Segment
ORD100001,2025-02-22,CUST1280,T-Shirt,Fashion,3,900,0.0,2700.0,1752.59,947.41,Delhi,New Delhi,UPI,Returned,Corporate
ORD100002,2025-01-14,CUST1288,Laptop,Electronics,2,55000,0.0,110000.0,78229.6,31770.4,Uttar Pradesh,Lucknow,Credit Card,Returned,Corporate
ORD100003,2025-06-24,CUST1143,Smartwatch,Electronics,1,5000,0.0,5000.0,3767.95,1232.05,Tamil Nadu,Coimbatore,Credit Card,Delivered,Corporate
ORD100004,2025-11-06,CUST1136,Smartphone,Electronics,1,25000,0.05,23750.0,19661.22,4088.78,Delhi,Delhi,UPI,Cancelled,Small Business
ORD100005,2025-11-13,CUST1186,Smartphone,Electronics,5,25000,0.05,118750.0,97808.63,20941.37,West Bengal,Kolkata,Net Banking,Delivered,Small Business
ORD100006,2025-02-21,CUST1195,Smartphone,Electronics,3,25000,0.0,75000.0,59112.74,15887.26,Uttar Pradesh,Azamgarh,Debit Card,Cancelled,Small Business
ORD100007,2025-05-17,CUST1037,Mixer Grinder,Home Appliances,3,3800,0.05,10830.0,7365.44,3464.56,Rajasthan,Jaipur,Net Banking,Delivered,Small Business
ORD100008,2025-11-24,CUST1286,Jeans,Fashion,4,1800,0.1,6480.0,4747.6,1732.4,Karnataka,Bengaluru,Credit Card,Delivered,Consumer
ORD100009,2025-10-18,CUST1162,Smartwatch,Electronics,4,5000,0.05,19000.0,12291.23,6708.77,Uttar Pradesh,Varanasi,Credit Card,Cancelled,Corporate
ORD100010,2025-10-15,CUST1276,Air Fryer,Home Appliances,3,6500,0.0,19500.0,12758.03,6741.97,Tamil Nadu,Chennai,Debit Card,Returned,Corporate
ORD100011,2025-03-12,CUST1261,Air Fryer,Home Appliances,3,6500,0.0,19500.0,15978.53,3521.47,Bihar,Gaya,Cash on Delivery,Delivered,Consumer
ORD100012,2025-02-02,CUST1198,Mixer Grinder,Home Appliances,2,3800,0.2,6080.0,5265.85,814.15,Delhi,New Delhi,Cash on Delivery,Returned,Corporate
ORD100013,2025-05-17,CUST1175,Backpack,Bags,1,1800,0.2,1440.0,1430.38,9.62,Gujarat,Ahmedabad,UPI,Delivered,Corporate
ORD100014,2025-09-17,CUST1055,Headphones,Electronics,3,2500,0.15,6375.0,5757.24,617.76,Tamil Nadu,Chennai,Debit Card,Returned,Small Business
ORD100015,2025-09-29,CUST1001,Smartwatch,Electronics,2,5000,0.15,8500.0,8097.7,402.3,Maharashtra,Pune,Net Banking,Delivered,Corporate
ORD100016,2025-10-18,CUST1041,Laptop,Electronics,3,55000,0.0,165000.0,101102.68,63897.32,Delhi,Delhi,UPI,Cancelled,Consumer
ORD100017,2025-10-09,CUST1085,Coffee Maker,Home Appliances,2,4500,0.2,7200.0,6341.06,858.94,Telangana,Hyderabad,Debit Card,Returned,Small Business
ORD100018,2025-11-29,CUST1192,Office Chair,Furniture,3,8500,0.1,22950.0,20882.79,2067.21,Karnataka,Bengaluru,Cash on Delivery,Returned,Corporate
ORD100019,2025-10-11,CUST1118,Smartphone,Electronics,1,25000,0.05,23750.0,15115.69,8634.31,Karnataka,Bengaluru,Net Banking,Delivered,Consumer
ORD100020,2025-02-06,CUST1264,Smartphone,Electronics,1,25000,0.0,25000.0,19727.99,5272.01,Uttar Pradesh,Azamgarh,Credit Card,Delivered,Small Business
ORD100021,2025-08-31,CUST1209,Desk,Furniture,5,6500,0.15,27625.0,22879.6,4745.4,Karnataka,Bengaluru,Credit Card,Delivered,Consumer
ORD100022,2025-01-28,CUST1051,T-Shirt,Fashion,4,900,0.1,3240.0,2529.88,710.12,West Bengal,Durgapur,UPI,Cancelled,Small Business
ORD100023,2025-03-13,CUST1217,Mouse,Accessories,2,900,0.0,1800.0,1292.37,507.63,Delhi,New Delhi,Credit Card,Delivered,Corporate
ORD100024,2025-10-04,CUST1008,Smartwatch,Electronics,5,5000,0.0,25000.0,15278.24,9721.76,Delhi,Delhi,UPI,Delivered,Consumer
ORD100025,2025-03-26,CUST1195,Office Chair,Furniture,2,8500,0.1,15300.0,13575.14,1724.86,Tamil Nadu,Coimbatore,UPI,Cancelled,Corporate
ORD100026,2025-10-12,CUST1250,Air Fryer,Home Appliances,4,6500,0.2,20800.0,21075.86,-275.86,Tamil Nadu,Coimbatore,Credit Card,Delivered,Corporate
ORD100027,2025-09-02,CUST1258,Smartwatch,Electronics,3,5000,0.0,15000.0,9165.47,5834.53,Uttar Pradesh,Lucknow,Net Banking,Delivered,Consumer
